negatives
"frozenset({'Q7L0Q8', 'Q07889', 'IL5'})"
"frozenset({'P45973', 'O75367', 'IL5'})"
"frozenset({'P62318', 'IL5', 'Q16637'})"
"frozenset({'Q13627', 'Q05193', 'IL5'})"
"frozenset({'Q9UP83', 'P25054', 'IL5'})"
"frozenset({'Q96P11', 'IL5', 'Q01860'})"
"frozenset({'P23469', 'IL5', 'P62993'})"
"frozenset({'IL5', 'P04629', 'O75694'})"
"frozenset({'P48736', 'IL5', 'P63215'})"
"frozenset({'Q01844', 'Q13111', 'IL5'})"
"frozenset({'P46379', 'IL5', 'O95071'})"
"frozenset({'Q14197', 'Q9NP81', 'IL5'})"
"frozenset({'Q5JS54', 'P28065', 'IL5'})"
"frozenset({'P08631', 'IL5', 'P60709'})"
"frozenset({'P49759', 'IL5', 'Q15058'})"
"frozenset({'P03372', 'O95831', 'IL5'})"
"frozenset({'IL5', 'Q9H2C0', 'Q969V4'})"
"frozenset({'P46379', 'IL5', 'P61619'})"
"frozenset({'IL5', 'O00231', 'P25787'})"
"frozenset({'Q9NZM5', 'P54257', 'IL5'})"
"frozenset({'O00506', 'Q9P289', 'IL5'})"
"frozenset({'IL5', 'P56537', 'P55786'})"
"frozenset({'Q7LGA3', 'IL5', 'Q9H490'})"
"frozenset({'O43678', 'Q8IVT5', 'IL5'})"
"frozenset({'IL5', 'O14776', 'P13612'})"
"frozenset({'P05771', 'IL5', 'P42345'})"
"frozenset({'P05067', 'IL5', 'Q16775'})"
"frozenset({'P16615', 'P08195', 'IL5'})"
"frozenset({'Q9P1U0', 'P02647', 'IL5'})"
"frozenset({'IL5', 'P36957', 'Q92995'})"
"frozenset({'IL5', 'P62424', 'P62701'})"
"frozenset({'IL5', 'O15259', 'Q6XZF7'})"
"frozenset({'IL5', 'O95863', 'Q15910'})"
"frozenset({'IL5', 'P17096', 'Q9Y5N6'})"
"frozenset({'IL5', 'O14980', 'Q93008'})"
"frozenset({'O60341', 'IL5', 'Q71DI3'})"
"frozenset({'IL5', 'Q13310', 'P61313'})"
"frozenset({'P11233', 'IL5', 'P49006'})"
"frozenset({'P49736', 'IL5', 'Q8NEM0'})"
"frozenset({'O76013', 'IL5', 'Q9NX58'})"
"frozenset({'P57678', 'IL5', 'Q63ZY3'})"
"frozenset({'Q5TC82', 'IL5', 'P62253'})"
"frozenset({'Q8WUM4', 'P60520', 'IL5'})"
"frozenset({'Q9BQE3', 'IL5', 'Q9BVA1'})"
"frozenset({'IL5', 'P0DP23', 'P29692'})"
"frozenset({'P01860', 'IL5', 'P00533'})"
"frozenset({'O75460', 'IL5', 'P49768'})"
"frozenset({'Q9Y446', 'IL5', 'Q8NDV1'})"
"frozenset({'IL5', 'Q96GX1', 'O14683'})"
"frozenset({'O14965', 'P52630', 'IL5'})"
"frozenset({'IL5', 'P0C0S5', 'P01106'})"
"frozenset({'IL5', 'O15198', 'P28799'})"
"frozenset({'Q15386', 'IL5', 'O75155'})"
"frozenset({'IL5', 'O43353', 'Q15750'})"
"frozenset({'IL5', 'P61353', 'Q02543'})"
"frozenset({'Q8TBB1', 'O14777', 'IL5'})"
"frozenset({'Q08462', 'IL5', 'O14610'})"
"frozenset({'IL5', 'Q01105', 'Q8IY81'})"
"frozenset({'IL5', 'P19474', 'Q9UER7'})"
"frozenset({'IL5', 'Q16548', 'Q04206'})"
"frozenset({'Q99447', 'IL5', 'O15357'})"
"frozenset({'IL5', 'Q00535', 'Q01105'})"
"frozenset({'IL5', 'Q13363', 'Q9H171'})"
"frozenset({'IL5', 'Q68DK7', 'Q9HCE1'})"
"frozenset({'Q9H0J4', 'IL5', 'Q9BZ23'})"
"frozenset({'P51679', 'Q13112', 'IL5'})"
"frozenset({'P29590', 'IL5', 'P02545'})"
"frozenset({'IL5', 'Q13263', 'P36873'})"
"frozenset({'IL5', 'Q96H55', 'O95782'})"
"frozenset({'IL5', 'Q00722', 'P63215'})"
"frozenset({'IL5', 'P50502', 'P55072'})"
"frozenset({'IL5', 'P01106', 'Q99720'})"
"frozenset({'P38398', 'IL5', 'Q9NWV8'})"
"frozenset({'Q9GZR7', 'IL5', 'P19338'})"
"frozenset({'P61421', 'Q14152', 'IL5'})"
"frozenset({'Q9BU70', 'IL5', 'P23508'})"
"frozenset({'Q5HYN5', 'IL5', 'Q9NY27'})"
"frozenset({'P78536', 'IL5', 'P26045'})"
"frozenset({'IL5', 'P62888', 'Q9Y2X3'})"
"frozenset({'Q9H0R8', 'IL5', 'Q9GZT8'})"
"frozenset({'Q13595', 'IL5', 'O00422'})"
"frozenset({'IL5', 'Q8TC71', 'Q5JST6'})"
"frozenset({'IL5', 'Q9UJV9', 'P04083'})"
"frozenset({'P55854', 'IL5', 'O14715'})"
"frozenset({'Q5T5P2', 'IL5', 'Q9NQT4'})"
"frozenset({'IL5', 'P0C0S5', 'Q9NV56'})"
"frozenset({'IL5', 'Q02641', 'P30154'})"
"frozenset({'Q96NL6', 'IL5', 'Q9NZU5'})"
"frozenset({'Q8N2K1', 'IL5', 'O60260'})"
"frozenset({'Q71U36', 'IL5', 'O75410'})"
"frozenset({'IL5', 'Q8IWT1', 'Q13557'})"
"frozenset({'P84077', 'IL5', 'P51148'})"
"frozenset({'Q9NVR5', 'IL5', 'Q9UM19'})"
"frozenset({'IL5', 'Q9UEU0', 'Q86VW0'})"
"frozenset({'IL5', 'P21580', 'P31946'})"
"frozenset({'Q9ULV4', 'IL5', 'P22681'})"
"frozenset({'O43752', 'IL5', 'Q13190'})"
"frozenset({'Q92765', 'IL5', 'O00744'})"
"frozenset({'IL5', 'Q15051', 'Q04695'})"
"frozenset({'IL5', 'O95166', 'P62258'})"
"frozenset({'P12109', 'IL5', 'P26012'})"
"frozenset({'IL5', 'Q7L0J3', 'P07942'})"
"frozenset({'Q14103', 'IL5', 'Q92499'})"
"frozenset({'P17612', 'IL5', 'Q8NGC0'})"
"frozenset({'Q9UHV8', 'P49639', 'IL5'})"
"frozenset({'IL5', 'Q8N6T7', 'Q9Y230'})"
"frozenset({'P62829', 'P62979', 'IL5'})"
"frozenset({'IL5', 'Q15637', 'Q92598'})"
"frozenset({'Q496Y0', 'P17661', 'IL5'})"
"frozenset({'Q96FW1', 'IL5', 'P22102'})"
"frozenset({'O95983', 'Q8NHZ7', 'IL5'})"
"frozenset({'Q8NH70', 'IL5', 'P22612'})"
"frozenset({'P35249', 'IL5', 'Q13285'})"
"frozenset({'P05412', 'IL5', 'P62854'})"
"frozenset({'IL5', 'P04406', 'Q96AP0'})"
"frozenset({'Q9Y6G9', 'IL5', 'P62333'})"
"frozenset({'O75821', 'IL5', 'B5ME19'})"
"frozenset({'P31749', 'IL5', 'P28482'})"
"frozenset({'Q92698', 'IL5', 'O43543'})"
"frozenset({'Q16552', 'Q86WA8', 'IL5'})"
"frozenset({'Q92918', 'P63208', 'IL5'})"
"frozenset({'P08579', 'Q9NRD5', 'IL5'})"
"frozenset({'Q8IY33', 'IL5', 'P12814'})"
"frozenset({'P52803', 'IL5', 'P20936'})"
"frozenset({'P00441', 'IL5', 'P35754'})"
"frozenset({'Q9UMR2', 'P02675', 'IL5'})"
"frozenset({'P41252', 'IL5', 'Q12904'})"
"frozenset({'Q9H9D4', 'IL5', 'Q9NWQ4'})"
"frozenset({'Q9BYR5', 'IL5', 'P60410'})"
"frozenset({'Q8NH10', 'IL5', 'P22694'})"
"frozenset({'IL5', 'Q15459', 'Q8TAQ2'})"
"frozenset({'IL5', 'P16471', 'P50570'})"
"frozenset({'IL5', 'P20309', 'Q8IZF0'})"
"frozenset({'IL5', 'Q6IQ23', 'Q15417'})"
"frozenset({'IL5', 'Q96RU7', 'Q96KN3'})"
"frozenset({'Q969G2', 'IL5', 'Q9Y6H1'})"
"frozenset({'IL5', 'P09874', 'Q96L91'})"
"frozenset({'IL5', 'P40429', 'P18124'})"
"frozenset({'P51149', 'IL5', 'Q15014'})"
"frozenset({'O75541', 'Q13315', 'IL5'})"
"frozenset({'IL5', 'Q9HCE1', 'P51148'})"
"frozenset({'Q16659', 'Q8N6R0', 'IL5'})"
"frozenset({'IL5', 'O75190', 'Q13148'})"
"frozenset({'Q99801', 'IL5', 'Q9BQA1'})"
"frozenset({'IL5', 'Q14004', 'Q16543'})"
"frozenset({'IL5', 'Q9NRD5', 'P23975'})"
"frozenset({'IL5', 'P82933', 'P04629'})"
"frozenset({'IL5', 'Q9Y4K3', 'Q9BXL7'})"
"frozenset({'IL5', 'Q9BYV6', 'Q9NZU5'})"
"frozenset({'IL5', 'P62906', 'P04629'})"
"frozenset({'IL5', 'Q8WYQ3', 'Q5JRX3'})"
"frozenset({'IL5', 'P51668', 'Q9NTX7'})"
"frozenset({'P12980', 'IL5', 'Q86UT8'})"
"frozenset({'O95359', 'IL5', 'Q92831'})"
"frozenset({'P05412', 'P16581', 'IL5'})"
"frozenset({'IL5', 'Q99956', 'O15264'})"
"frozenset({'Q9BR01', 'IL5', 'Q9BZG8'})"
"frozenset({'Q86YN6', 'IL5', 'Q8N490'})"
"frozenset({'IL5', 'Q00610', 'P09497'})"
"frozenset({'IL5', 'Q6RW13', 'Q9UKL6'})"
"frozenset({'Q7L0Q8', 'Q13009', 'IL5'})"
"frozenset({'Q96GS4', 'IL5', 'P52732'})"
"frozenset({'IL5', 'Q8IZ21', 'Q86X19'})"
"frozenset({'Q9BZW7', 'Q96SQ5', 'IL5'})"
"frozenset({'P36542', 'Q99807', 'IL5'})"
"frozenset({'Q3KQV3', 'IL5', 'P34897'})"
"frozenset({'Q92993', 'IL5', 'P11926'})"
"frozenset({'Q9Y2T3', 'Q9P287', 'IL5'})"
"frozenset({'Q13546', 'IL5', 'O00429'})"
"frozenset({'Q9GZT3', 'IL5', 'P11171'})"
"frozenset({'Q15056', 'Q8IY67', 'IL5'})"
"frozenset({'P31152', 'Q96NB2', 'IL5'})"
"frozenset({'P21781', 'P08581', 'IL5'})"
"frozenset({'IL5', 'O75581', 'O14640'})"
"frozenset({'Q9HBH9', 'P18848', 'IL5'})"
"frozenset({'Q6PL18', 'IL5', 'P62807'})"
"frozenset({'P49815', 'P67775', 'IL5'})"
"frozenset({'Q96AE4', 'P61158', 'IL5'})"
"frozenset({'P62857', 'IL5', 'Q86VP6'})"
"frozenset({'P50613', 'IL5', 'P13631'})"
"frozenset({'O00571', 'IL5', 'Q13148'})"
"frozenset({'Q14344', 'O95977', 'IL5'})"
"frozenset({'IL5', 'Q13813', 'Q05397'})"
"frozenset({'P05089', 'IL5', 'Q15910'})"
"frozenset({'IL5', 'Q15843', 'P08779'})"
"frozenset({'P16871', 'IL5', 'P68363'})"
"frozenset({'IL5', 'P63151', 'P54577'})"
"frozenset({'P20648', 'IL5', 'P22897'})"
"frozenset({'IL5', 'Q96GX1', 'Q8WUY9'})"
"frozenset({'O95567', 'IL5', 'Q9GZZ8'})"
"frozenset({'O14641', 'IL5', 'Q8NEA9'})"
"frozenset({'Q14980', 'IL5', 'P04629'})"
"frozenset({'Q96BZ8', 'IL5', 'Q15742'})"
"frozenset({'IL5', 'Q9H4B4', 'F7VJQ1'})"
"frozenset({'Q9GZM8', 'Q70YC4', 'IL5'})"
"frozenset({'Q00987', 'IL5', 'Q9H1E3'})"
"frozenset({'O76011', 'IL5', 'Q8IYR0'})"
"frozenset({'P62333', 'IL5', 'P25787'})"
"frozenset({'Q7L2E3', 'P01106', 'IL5'})"
