negatives
"frozenset({'Alpha6Beta4Integrin', 'Q8NFB2', 'P37235'})"
"frozenset({'P42771', 'Alpha6Beta4Integrin', 'O15264'})"
"frozenset({'Alpha6Beta4Integrin', 'P25963', 'Q71UM5'})"
"frozenset({'Alpha6Beta4Integrin', 'P41250', 'Q15942'})"
"frozenset({'Q07960', 'Alpha6Beta4Integrin', 'P49286'})"
"frozenset({'Q15349', 'Alpha6Beta4Integrin', 'Q86XI6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13618', 'Q13516'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14686', 'O43504'})"
"frozenset({'Q7Z465', 'O94762', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q93052', 'Q14847'})"
"frozenset({'Alpha6Beta4Integrin', 'P62995', 'Q92616'})"
"frozenset({'Q01804', 'Alpha6Beta4Integrin', 'Q9NQX3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UQ07', 'Q9GZZ1'})"
"frozenset({'P07199', 'P20366', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WVZ9', 'O75694'})"
"frozenset({'Q6P1N9', 'P68402', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5T751', 'Alpha6Beta4Integrin', 'Q9HB63'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15910', 'P16615'})"
"frozenset({'Q9H147', 'Alpha6Beta4Integrin', 'Q8IX15'})"
"frozenset({'Q92905', 'Alpha6Beta4Integrin', 'Q7L2E3'})"
"frozenset({'Q9Y6K9', 'O60858', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BZK3', 'Q96K17'})"
"frozenset({'Alpha6Beta4Integrin', 'P48637', 'P50750'})"
"frozenset({'P27695', 'Alpha6Beta4Integrin', 'Q16881'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13501', 'Q99836'})"
"frozenset({'Q8N6Y0', 'Alpha6Beta4Integrin', 'Q9NX04'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96EP5', 'P38398'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H0U6', 'P49411'})"
"frozenset({'Alpha6Beta4Integrin', 'P07737', 'Q13432'})"
"frozenset({'P62736', 'Alpha6Beta4Integrin', 'P00403'})"
"frozenset({'Alpha6Beta4Integrin', 'P04626', 'P15880'})"
"frozenset({'Alpha6Beta4Integrin', 'P29317', 'P01133'})"
"frozenset({'P47897', 'Alpha6Beta4Integrin', 'O15198'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5XPI4', 'Q9H0R8'})"
"frozenset({'P62993', 'P09211', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P0DP23', 'Q9NQ29'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15365', 'Q16526'})"
"frozenset({'Q15796', 'O15197', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9HAU0', 'P35900', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13148', 'P15927'})"
"frozenset({'Alpha6Beta4Integrin', 'P06858', 'Q9H832'})"
"frozenset({'Q14164', 'Alpha6Beta4Integrin', 'P11142'})"
"frozenset({'Q03468', 'Alpha6Beta4Integrin', 'Q93009'})"
"frozenset({'Q9BY41', 'P20671', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BUZ4', 'P50914'})"
"frozenset({'Q15154', 'Alpha6Beta4Integrin', 'Q8NA72'})"
"frozenset({'Q96G23', 'Alpha6Beta4Integrin', 'Q9NY26'})"
"frozenset({'Q96IZ5', 'Alpha6Beta4Integrin', 'Q8ND90'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16539', 'P11362'})"
"frozenset({'P46108', 'Alpha6Beta4Integrin', 'P13645'})"
"frozenset({'P06400', 'Alpha6Beta4Integrin', 'P21980'})"
"frozenset({'Q68EA5', 'Alpha6Beta4Integrin', 'Q7Z3I7'})"
"frozenset({'Q7Z6E9', 'Alpha6Beta4Integrin', 'P62263'})"
"frozenset({'Q96HR8', 'Alpha6Beta4Integrin', 'Q00013'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7Z2X4', 'P18146'})"
"frozenset({'P51677', 'Alpha6Beta4Integrin', 'P35626'})"
"frozenset({'Q9H3N8', 'Q8WXI9', 'Alpha6Beta4Integrin'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'Q92623'})"
"frozenset({'Alpha6Beta4Integrin', 'P23284', 'P56537'})"
"frozenset({'Q15843', 'Alpha6Beta4Integrin', 'P33991'})"
"frozenset({'P09455', 'Alpha6Beta4Integrin', 'Q9H160'})"
"frozenset({'Q9UBI6', 'Alpha6Beta4Integrin', 'P25116'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96J02', 'O95835'})"
"frozenset({'Q9Y3C7', 'Alpha6Beta4Integrin', 'Q12988'})"
"frozenset({'Q99996', 'Q9UHX1', 'Alpha6Beta4Integrin'})"
"frozenset({'P29459', 'Alpha6Beta4Integrin', 'P00533'})"
"frozenset({'Q8IV77', 'Alpha6Beta4Integrin', 'Q96GE6'})"
"frozenset({'P04406', 'Alpha6Beta4Integrin', 'Q12882'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WTQ7', 'P32302'})"
"frozenset({'P62266', 'Alpha6Beta4Integrin', 'O00571'})"
"frozenset({'Alpha6Beta4Integrin', 'O95757', 'Q99543'})"
"frozenset({'Alpha6Beta4Integrin', 'O00254', 'P25116'})"
"frozenset({'P27361', 'Alpha6Beta4Integrin', 'Q96SM3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBQ0', 'P41220'})"
"frozenset({'P55211', 'Alpha6Beta4Integrin', 'P99999'})"
"frozenset({'P49771', 'Alpha6Beta4Integrin', 'P29317'})"
"frozenset({'Alpha6Beta4Integrin', 'P19320', 'Q8N5M4'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NEY8', 'Q86WV1'})"
"frozenset({'P18283', 'Alpha6Beta4Integrin', 'Q16236'})"
"frozenset({'O60716', 'Alpha6Beta4Integrin', 'Q99459'})"
"frozenset({'Q15369', 'Q8NG57', 'Alpha6Beta4Integrin'})"
"frozenset({'P62993', 'Alpha6Beta4Integrin', 'P08047'})"
"frozenset({'Alpha6Beta4Integrin', 'P68402', 'Q9BUJ0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q02078', 'P05412'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99496', 'Q8WUY1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UKV0', 'P62805'})"
"frozenset({'B9ZVM9', 'Q8TD46', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NUG6', 'Alpha6Beta4Integrin', 'O75665'})"
"frozenset({'Q9HBM6', 'Alpha6Beta4Integrin', 'Q9UPT9'})"
"frozenset({'Q9UPR3', 'Alpha6Beta4Integrin', 'Q16537'})"
"frozenset({'P14780', 'Alpha6Beta4Integrin', 'Q01955'})"
"frozenset({'Q9P2W3', 'Alpha6Beta4Integrin', 'O95006'})"
"frozenset({'Alpha6Beta4Integrin', 'P27540', 'P29590'})"
"frozenset({'P46108', 'Alpha6Beta4Integrin', 'Q5BJF6'})"
"frozenset({'O15121', 'Q8WVX3', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O00459', 'P22607'})"
"frozenset({'Alpha6Beta4Integrin', 'P28331', 'O75489'})"
"frozenset({'P21802', 'Alpha6Beta4Integrin', 'P16885'})"
"frozenset({'Q07666', 'Alpha6Beta4Integrin', 'Q9NQX3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q49AN0', 'P62258'})"
"frozenset({'Q13485', 'Alpha6Beta4Integrin', 'P98177'})"
"frozenset({'Alpha6Beta4Integrin', 'O14965', 'Q9BZF3'})"
"frozenset({'Alpha6Beta4Integrin', 'P61457', 'Q9NZR2'})"
"frozenset({'Alpha6Beta4Integrin', 'P68431', 'Q8IWY9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92558', 'O15143'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99665', 'O14543'})"
"frozenset({'Q9NZN9', 'Alpha6Beta4Integrin', 'Q9NXC5'})"
"frozenset({'Alpha6Beta4Integrin', 'P22612', 'Q8NHC4'})"
"frozenset({'Alpha6Beta4Integrin', 'Q01581', 'P53602'})"
"frozenset({'P24941', 'Alpha6Beta4Integrin', 'P30260'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86YD7', 'Q92997'})"
"frozenset({'Alpha6Beta4Integrin', 'P13010', 'P52294'})"
"frozenset({'Q14684', 'Alpha6Beta4Integrin', 'Q16539'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15424', 'Q8WXA9'})"
"frozenset({'Q16576', 'Alpha6Beta4Integrin', 'Q09028'})"
"frozenset({'Q96FF9', 'Alpha6Beta4Integrin', 'P12956'})"
"frozenset({'Alpha6Beta4Integrin', 'P15311', 'P26368'})"
"frozenset({'P12830', 'Alpha6Beta4Integrin', 'Q6WCQ1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q93009', 'Q9BYV6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q53HL2', 'Q8NHV4'})"
"frozenset({'P01023', 'Alpha6Beta4Integrin', 'Q96FJ0'})"
"frozenset({'Q86X55', 'Alpha6Beta4Integrin', 'P23443'})"
"frozenset({'O95466', 'Alpha6Beta4Integrin', 'Q9ULV4'})"
"frozenset({'Alpha6Beta4Integrin', 'P12268', 'P41091'})"
"frozenset({'Alpha6Beta4Integrin', 'Q56P03', 'Q9BRR8'})"
"frozenset({'Alpha6Beta4Integrin', 'P04843', 'Q9H0U4'})"
"frozenset({'Alpha6Beta4Integrin', 'P46776', 'P23396'})"
"frozenset({'Q9H2X0', 'Alpha6Beta4Integrin', 'P25116'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16348', 'Q5T749'})"
"frozenset({'P28300', 'P0DMV8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16836', 'Q9UBU9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UM73', 'Alpha6Beta4Integrin', 'P23471'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IZD9', 'P27986'})"
"frozenset({'Q96HA8', 'Alpha6Beta4Integrin', 'P31947'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y6A4', 'Q9Y2Q9'})"
"frozenset({'Alpha6Beta4Integrin', 'P62070', 'P27986'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6XQN6', 'P43490'})"
"frozenset({'Q01860', 'Alpha6Beta4Integrin', 'O76021'})"
"frozenset({'Q9UKB1', 'Alpha6Beta4Integrin', 'P38159'})"
"frozenset({'P10276', 'Alpha6Beta4Integrin', 'O14497'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16659', 'Q9UKK9'})"
"frozenset({'O00264', 'Q92905', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NYA3', 'Q96MY7'})"
"frozenset({'Q16204', 'Alpha6Beta4Integrin', 'Q14142'})"
"frozenset({'Q6AI39', 'Alpha6Beta4Integrin', 'Q99819'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99816', 'Q8TBB1'})"
"frozenset({'Q9P244', 'Alpha6Beta4Integrin', 'Q6ZW31'})"
"frozenset({'Alpha6Beta4Integrin', 'Q70CQ2', 'Q96S82'})"
"frozenset({'Q9UBQ5', 'Alpha6Beta4Integrin', 'P46783'})"
"frozenset({'Q9P0U4', 'Q9C005', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P62854', 'Q92597'})"
"frozenset({'O14757', 'Alpha6Beta4Integrin', 'P52272'})"
"frozenset({'Q9UKJ1', 'Alpha6Beta4Integrin', 'Q16363'})"
"frozenset({'Q9HC16', 'P21246', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N9I5', 'Q05329'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N8V2', 'Q9Y333'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00613', 'P09104'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6P2C8', 'P24863'})"
"frozenset({'Alpha6Beta4Integrin', 'O43556', 'Q16585'})"
"frozenset({'P61024', 'Q92905', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IUQ4', 'O60333'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BWD1', 'P62258'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6UXN8', 'Q15149'})"
"frozenset({'Q15084', 'Alpha6Beta4Integrin', 'P49585'})"
"frozenset({'Alpha6Beta4Integrin', 'P48634', 'Q9Y297'})"
"frozenset({'Q92793', 'P84022', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P37198', 'Q9UL45'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15910', 'P01137'})"
"frozenset({'Alpha6Beta4Integrin', 'P10275', 'P21860'})"
"frozenset({'Alpha6Beta4Integrin', 'O14610', 'P09471'})"
"frozenset({'Q7Z3Z2', 'Alpha6Beta4Integrin', 'Q96KQ7'})"
"frozenset({'Q14980', 'P35244', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13492', 'Alpha6Beta4Integrin', 'P09651'})"
"frozenset({'Q13185', 'Alpha6Beta4Integrin', 'Q96KQ7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NEU8', 'Q9UPY8'})"
"frozenset({'Q86X45', 'Alpha6Beta4Integrin', 'P50222'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9P2X3', 'Q96Q89'})"
"frozenset({'Alpha6Beta4Integrin', 'O75462', 'Q9HCE1'})"
"frozenset({'Q969Q6', 'Q96Q15', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P03372', 'P55317'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9ULK5', 'Q9HBU9'})"
"frozenset({'Alpha6Beta4Integrin', 'O95817', 'Q8NFG4'})"
"frozenset({'P82933', 'Alpha6Beta4Integrin', 'P54274'})"
"frozenset({'Alpha6Beta4Integrin', 'O75525', 'P35226'})"
"frozenset({'Alpha6Beta4Integrin', 'P24941', 'Q9NR30'})"
"frozenset({'Q99569', 'Alpha6Beta4Integrin', 'O95835'})"
"frozenset({'O75663', 'Alpha6Beta4Integrin', 'Q17R89'})"
"frozenset({'Alpha6Beta4Integrin', 'P09651', 'P08238'})"
"frozenset({'Alpha6Beta4Integrin', 'P42704', 'Q9H040'})"
"frozenset({'Q15562', 'Alpha6Beta4Integrin', 'P46934'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TEU7', 'Q13315'})"
"frozenset({'P33151', 'Alpha6Beta4Integrin', 'P35222'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N1F7', 'P37198'})"
"frozenset({'Q92621', 'Alpha6Beta4Integrin', 'Q9H0W5'})"
"frozenset({'Q08AD1', 'Alpha6Beta4Integrin', 'O14980'})"
"frozenset({'Q5VWX1', 'P07948', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6ZS10', 'P48230'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13315', 'P38935'})"
"frozenset({'Q12789', 'Alpha6Beta4Integrin', 'Q13501'})"
"frozenset({'Alpha6Beta4Integrin', 'Q09028', 'P49116'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96PZ0', 'Q9BU89'})"
"frozenset({'O95398', 'Alpha6Beta4Integrin', 'P61224'})"
"frozenset({'P35520', 'Q00613', 'Alpha6Beta4Integrin'})"
"frozenset({'O00214', 'Alpha6Beta4Integrin', 'O00560'})"
"frozenset({'Alpha6Beta4Integrin', 'P17987', 'Q8N3Y1'})"
"frozenset({'Alpha6Beta4Integrin', 'P46459', 'P10747'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13315', 'Q13309'})"
"frozenset({'Q9H244', 'Alpha6Beta4Integrin', 'P24539'})"
"frozenset({'P18669', 'Alpha6Beta4Integrin', 'Q01469'})"
"frozenset({'P55210', 'Alpha6Beta4Integrin', 'P42224'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13554', 'P62140'})"
"frozenset({'P25942', 'Alpha6Beta4Integrin', 'O95551'})"
"frozenset({'O60264', 'Alpha6Beta4Integrin', 'O43175'})"
"frozenset({'Q8N205', 'Alpha6Beta4Integrin', 'Q86UP2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBZ4', 'O94972'})"
"frozenset({'Alpha6Beta4Integrin', 'O00560', 'P34741'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BQS6', 'Q9BUE6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86T24', 'Q15717'})"
"frozenset({'P07900', 'Alpha6Beta4Integrin', 'Q15185'})"
"frozenset({'P36941', 'Q9NUQ6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13485', 'Alpha6Beta4Integrin', 'P49716'})"
"frozenset({'O14828', 'Alpha6Beta4Integrin', 'O43542'})"
"frozenset({'Q6ZW49', 'Alpha6Beta4Integrin', 'Q9NX58'})"
"frozenset({'Alpha6Beta4Integrin', 'O75794', 'Q8IWL3'})"
"frozenset({'Alpha6Beta4Integrin', 'P35637', 'O95983'})"
"frozenset({'Q15154', 'Alpha6Beta4Integrin', 'Q9H892'})"
"frozenset({'Alpha6Beta4Integrin', 'P41182', 'Q13547'})"
"frozenset({'Alpha6Beta4Integrin', 'P51965', 'P61088'})"
"frozenset({'O00483', 'P03897', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96LK0', 'Q9NVU7', 'Alpha6Beta4Integrin'})"
"frozenset({'P31930', 'O75593', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P35228', 'A7E2V4'})"
"frozenset({'Q8N0Z6', 'Alpha6Beta4Integrin', 'O60547'})"
"frozenset({'Alpha6Beta4Integrin', 'Q01113', 'Q16619'})"
"frozenset({'Alpha6Beta4Integrin', 'P43353', 'Q7Z3S9'})"
"frozenset({'Q6IQ23', 'Alpha6Beta4Integrin', 'P61964'})"
"frozenset({'Alpha6Beta4Integrin', 'P23760', 'P06241'})"
"frozenset({'Q96CW5', 'Alpha6Beta4Integrin', 'P15880'})"
"frozenset({'Alpha6Beta4Integrin', 'P19429', 'Q14738'})"
"frozenset({'Q9UI10', 'Alpha6Beta4Integrin', 'Q9ULX7'})"
"frozenset({'Alpha6Beta4Integrin', 'O15162', 'Q9H1Q7'})"
"frozenset({'Q9NPJ6', 'Alpha6Beta4Integrin', 'O15078'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13315', 'O95757'})"
"frozenset({'Alpha6Beta4Integrin', 'P60484', 'Q96QZ7'})"
"frozenset({'Q96T76', 'Alpha6Beta4Integrin', 'Q9Y5J5'})"
"frozenset({'Q9NUX5', 'Alpha6Beta4Integrin', 'O14862'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NCV1', 'P05067'})"
"frozenset({'Q6ICL3', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UMR2', 'P01009'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99728', 'P61088'})"
"frozenset({'A7KAX9', 'Q13480', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92905', 'Q14997', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UI10', 'Alpha6Beta4Integrin', 'Q9Y2J2'})"
"frozenset({'Alpha6Beta4Integrin', 'O60493', 'P40121'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14494', 'Q9ULX9'})"
"frozenset({'P17612', 'Alpha6Beta4Integrin', 'P18846'})"
"frozenset({'Alpha6Beta4Integrin', 'O43290', 'Q15019'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96QC0', 'P36873'})"
"frozenset({'Q96GT9', 'Alpha6Beta4Integrin', 'Q8IVH2'})"
"frozenset({'Alpha6Beta4Integrin', 'P01375', 'P05412'})"
"frozenset({'Alpha6Beta4Integrin', 'Q93034', 'Q562R1'})"
"frozenset({'P25791', 'Alpha6Beta4Integrin', 'Q6A162'})"
"frozenset({'Q68E01', 'Alpha6Beta4Integrin', 'Q96CS3'})"
"frozenset({'Q96HA8', 'Alpha6Beta4Integrin', 'Q9NQ48'})"
"frozenset({'P06576', 'Alpha6Beta4Integrin', 'Q9H845'})"
"frozenset({'P57078', 'Q9Y6K9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O75317', 'Q96J02'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UN86', 'Q13206'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NX53', 'Q16633'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7L9L4', 'Q9Y2L9'})"
"frozenset({'O14893', 'Q01130', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P78396', 'Q99741'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99558', 'P07814'})"
"frozenset({'O95685', 'Alpha6Beta4Integrin', 'Q93100'})"
"frozenset({'O00429', 'Alpha6Beta4Integrin', 'Q07817'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H078', 'Q96DB2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NPC3', 'Q9BSW7'})"
"frozenset({'Q13418', 'P31689', 'Alpha6Beta4Integrin'})"
"frozenset({'P26583', 'Q96FW1', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P68400', 'Q2M389'})"
"frozenset({'Q5T9A4', 'P60510', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NQT8', 'P55196', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NWB7', 'Alpha6Beta4Integrin', 'Q9NZS9'})"
"frozenset({'Alpha6Beta4Integrin', 'O14641', 'Q8NEV1'})"
"frozenset({'P05013', 'Alpha6Beta4Integrin', 'P16234'})"
"frozenset({'Q07021', 'Alpha6Beta4Integrin', 'Q16526'})"
"frozenset({'Q9BQB6', 'Alpha6Beta4Integrin', 'Q8WUD4'})"
"frozenset({'Alpha6Beta4Integrin', 'P51784', 'Q01831'})"
"frozenset({'O94813', 'Alpha6Beta4Integrin', 'Q9H0W5'})"
"frozenset({'Alpha6Beta4Integrin', 'P35638', 'Q8WYK2'})"
"frozenset({'O96008', 'Alpha6Beta4Integrin', 'Q07812'})"
"frozenset({'O00273', 'Alpha6Beta4Integrin', 'P61981'})"
"frozenset({'Q92901', 'Alpha6Beta4Integrin', 'Q92731'})"
"frozenset({'P29353', 'Alpha6Beta4Integrin', 'Q15149'})"
"frozenset({'Q96L73', 'Alpha6Beta4Integrin', 'P10828'})"
"frozenset({'P01911', 'Alpha6Beta4Integrin', 'P11142'})"
"frozenset({'P55072', 'P33527', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYR5', 'Alpha6Beta4Integrin', 'O15162'})"
"frozenset({'Alpha6Beta4Integrin', 'P30044', 'P32119'})"
"frozenset({'P49447', 'Alpha6Beta4Integrin', 'Q99942'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BT04', 'Q9BU20'})"
"frozenset({'Q9BYR9', 'Alpha6Beta4Integrin', 'P57678'})"
"frozenset({'Q9NP72', 'Alpha6Beta4Integrin', 'P61006'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UGI0', 'Q9ULQ0'})"
"frozenset({'Q14164', 'Alpha6Beta4Integrin', 'Q8WU90'})"
"frozenset({'P68400', 'Alpha6Beta4Integrin', 'Q9NX04'})"
"frozenset({'Q16623', 'Alpha6Beta4Integrin', 'Q96FZ5'})"
"frozenset({'O15379', 'Alpha6Beta4Integrin', 'Q6MZP7'})"
"frozenset({'Q96MF7', 'Alpha6Beta4Integrin', 'Q96SB8'})"
"frozenset({'Q9H0R4', 'Alpha6Beta4Integrin', 'P50222'})"
"frozenset({'P63104', 'Q9UI47', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P10301', 'Q9NZL6'})"
"frozenset({'P29622', 'Alpha6Beta4Integrin', 'O95257'})"
"frozenset({'Alpha6Beta4Integrin', 'P11021', 'P05111'})"
"frozenset({'P07942', 'O75578', 'Alpha6Beta4Integrin'})"
"frozenset({'P53778', 'Alpha6Beta4Integrin', 'O43464'})"
"frozenset({'Q96EX3', 'Alpha6Beta4Integrin', 'Q5VX71'})"
"frozenset({'P46109', 'Alpha6Beta4Integrin', 'O15230'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BRP8', 'P23396'})"
"frozenset({'P46379', 'Alpha6Beta4Integrin', 'Q96FW1'})"
"frozenset({'Q9BT25', 'Alpha6Beta4Integrin', 'O14980'})"
"frozenset({'Q96T76', 'Q9BXY0', 'Alpha6Beta4Integrin'})"
"frozenset({'P35250', 'P35244', 'Alpha6Beta4Integrin'})"
"frozenset({'P49759', 'Alpha6Beta4Integrin', 'O95817'})"
"frozenset({'Alpha6Beta4Integrin', 'P05231', 'Q14626'})"
"frozenset({'Alpha6Beta4Integrin', 'P43246', 'Q99638'})"
"frozenset({'Alpha6Beta4Integrin', 'P49639', 'Q03431'})"
"frozenset({'Alpha6Beta4Integrin', 'P51812', 'P11362'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99496', 'Q96KQ7'})"
"frozenset({'Alpha6Beta4Integrin', 'P31947', 'P15056'})"
"frozenset({'P43243', 'Alpha6Beta4Integrin', 'Q01105'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y277', 'P56385'})"
"frozenset({'Alpha6Beta4Integrin', 'P01106', 'Q7Z6J0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q93009', 'Q96Q83'})"
"frozenset({'Q00839', 'Alpha6Beta4Integrin', 'Q9UHD9'})"
"frozenset({'Alpha6Beta4Integrin', 'P33527', 'P14866'})"
"frozenset({'Alpha6Beta4Integrin', 'P12270', 'Q5SRE5'})"
"frozenset({'Q86XI6', 'Alpha6Beta4Integrin', 'P11217'})"
"frozenset({'Q9Y250', 'Alpha6Beta4Integrin', 'Q9H0I2'})"
"frozenset({'A8K8P3', 'Alpha6Beta4Integrin', 'P23434'})"
"frozenset({'Alpha6Beta4Integrin', 'O43933', 'Q04206'})"
"frozenset({'P13725', 'Q9UHF4', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P60370', 'P22736'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N157', 'Q15717'})"
"frozenset({'Q16512', 'Alpha6Beta4Integrin', 'Q9UKV0'})"
"frozenset({'Q8N423', 'Alpha6Beta4Integrin', 'P03989'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15834', 'Q9GZT8'})"
"frozenset({'P51148', 'Q8NEB9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q969S6', 'O15372'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96IK5', 'Q8N5J2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7L273', 'Q8N5R6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H1D0', 'P60410'})"
"frozenset({'Alpha6Beta4Integrin', 'P37231', 'O95405'})"
"frozenset({'P10916', 'Alpha6Beta4Integrin', 'Q32MK0'})"
"frozenset({'P31323', 'P17612', 'Alpha6Beta4Integrin'})"
"frozenset({'P04899', 'Alpha6Beta4Integrin', 'Q86YR5'})"
"frozenset({'O75478', 'Alpha6Beta4Integrin', 'P04637'})"
"frozenset({'Alpha6Beta4Integrin', 'P07948', 'P19235'})"
"frozenset({'Q15046', 'Alpha6Beta4Integrin', 'P07203'})"
