negatives
"frozenset({'O95793', 'Q00610', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O14558', 'Q8IUC2'})"
"frozenset({'Q9UBS0', 'Alpha6Beta4Integrin', 'P02538'})"
"frozenset({'Q96AD5', 'Alpha6Beta4Integrin', 'P27448'})"
"frozenset({'P00568', 'O94913', 'Alpha6Beta4Integrin'})"
"frozenset({'P28676', 'Q9NP55', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IZH2', 'Q9HAU5', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P48431', 'Q9Y2J4'})"
"frozenset({'Alpha6Beta4Integrin', 'P38432', 'P62306'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15717', 'Q92922'})"
"frozenset({'Alpha6Beta4Integrin', 'O75312', 'Q9NRX4'})"
"frozenset({'P04066', 'Alpha6Beta4Integrin', 'Q99728'})"
"frozenset({'Q08378', 'Alpha6Beta4Integrin', 'Q9BXB1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13617', 'Q9BTE7'})"
"frozenset({'P33527', 'Alpha6Beta4Integrin', 'Q13200'})"
"frozenset({'Alpha6Beta4Integrin', 'P23443', 'P49841'})"
"frozenset({'Alpha6Beta4Integrin', 'P12004', 'P61077'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H207', 'P49407'})"
"frozenset({'P0DMV8', 'Q9HC29', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P63162', 'P49760'})"
